k,LIE_score,IC_spread,time_sec,seeds
5,8.4399,8.39,1.03,"[1441, 19615, 63113, 30744, 16164]"
10,15.587,16.2533,1.34,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 65168, 13648]"
15,22.3702,23.0933,1.55,"[1441, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 27910, 13648]"
20,29.0737,30.03,1.85,"[29044, 1441, 4436, 30744, 19615, 43076, 48570, 48973, 44262, 63113]"
25,35.3711,36.7333,3.12,"[1441, 19615, 28950, 30744, 16164, 43076, 63113, 48973, 44262, 13648]"
30,42.1516,44.41,2.24,"[1441, 60926, 63113, 35750, 19615, 59077, 23420, 48973, 30744, 13648]"
35,48.0566,49.4633,3.58,"[1441, 19615, 63113, 30744, 16164, 59077, 32372, 48973, 44262, 43226]"
40,54.8951,56.89,5.11,"[1441, 19615, 12910, 30744, 14017, 40803, 23420, 48973, 44262, 7648]"
45,61.3367,63.46,6.58,"[1441, 19615, 63113, 30744, 59077, 4436, 23420, 48973, 44262, 13648]"
50,68.1606,70.7467,5.74,"[1441, 19615, 52185, 63113, 16164, 59077, 29715, 48973, 44262, 13648]"
