k,LIE_score,IC_spread,time_sec,seeds
5,8.4554,8.3633,99.55,"[1441, 19615, 63113, 30744, 59077]"
10,15.2415,15.4567,265.97,"[1441, 19615, 68597, 30744, 63113, 33454, 23420, 61742, 44262, 59077]"
15,21.4686,21.94,366.24,"[1441, 19615, 63113, 30744, 16164, 60175, 23420, 48973, 44262, 24394]"
20,28.4784,29.22,602.49,"[1441, 19615, 31668, 30744, 59077, 17596, 23420, 6366, 44262, 13648]"
25,34.419,35.6967,554.44,"[1441, 19615, 414, 30744, 10225, 51382, 24545, 48973, 44262, 63113]"
30,40.4551,41.5933,721.82,"[19105, 19615, 63113, 30744, 16164, 59077, 23420, 48973, 67524, 13648]"
35,46.9803,48.35,762.62,"[65013, 19615, 63113, 35835, 16164, 59077, 23420, 43226, 44262, 18533]"
40,53.1168,54.56,963.61,"[1441, 53132, 63113, 30744, 49958, 57374, 43136, 14757, 65786, 8339]"
45,60.2167,62.1533,1277.3,"[1441, 51512, 63113, 19835, 16164, 59077, 23420, 19615, 66200, 57626]"
50,66.0554,68.72,1364.48,"[39176, 8851, 22613, 33151, 22605, 59077, 23420, 48973, 44262, 20394]"
